City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,udachny,66.4167,112.4,278.4,69,45,5.78,RU,1689371478
84,kavaratti,10.5669,72.642,300.58,77,72,4.3,IN,1689371479
85,ust-nera,64.5667,143.2,297.67,52,32,2.65,RU,1689370904
86,manavalakurichi,8.1333,77.3,299.71,81,100,6.59,IN,1689371479
87,afaahiti,-17.75,-149.2833,301.08,68,26,3.93,PF,1689370955
88,puerto natales,-51.7236,-72.4875,270.75,93,89,0.89,CL,1689371480
89,camana,-16.6228,-72.7111,291.61,80,99,2.43,PE,1689371480
90,hue,16.4667,107.6,302.21,84,40,0.51,VN,1689371480
91,maintirano,-18.0667,44.0167,295.56,79,64,3.7,MG,1689371481
92,hilo,19.7297,-155.09,303.86,67,0,5.14,US,1689370922
93,shahpura,27.3833,75.9667,303.89,62,89,1.48,IN,1689371481
94,lospalos,-8.5186,127.0025,292.9,92,75,2.49,TL,1689371482
95,cangzhou,38.3167,116.8667,299.04,46,2,4.69,CN,1689371482
96,paradip garh,20.3167,86.6167,301.87,78,100,5.84,IN,1689371483
97,st. john's,47.5649,-52.7093,294.81,78,75,8.75,CA,1689371029
98,pudasjarvi,65.3833,26.9167,286.82,89,92,0.25,FI,1689371483
99,san antonio de pale,-1.4014,5.6325,296.67,82,60,5.41,GQ,1689370892
100,hammerfest,70.6634,23.6821,289.4,63,0,2.06,NO,1689371484
101,utrik,11.2278,169.8474,301.43,78,73,7.83,MH,1689370896
102,leava,-14.3,-178.1667,300.52,80,88,9.98,WF,1689371128
103,erenhot,43.6475,111.9767,291.62,43,26,4.1,CN,1689371485
104,georgetown,5.4112,100.3354,302.72,93,20,1.03,MY,1689370771
105,talnakh,69.4865,88.3972,279.38,64,100,2.22,RU,1689370938
106,markaz-e hukumat-e darweshan,31.1323,64.1934,303.62,11,0,2.19,AF,1689371486
107,copiapo,-27.3667,-70.3333,287.98,38,0,1.82,CL,1689371486
108,talcahuano,-36.7167,-73.1167,284.97,76,40,5.14,CL,1689371487
109,saint-pierre,-21.3393,55.4781,294.58,94,75,9.26,RE,1689370922
110,colac,-38.3333,143.5833,282.5,93,100,3.05,AU,1689371487
111,belyy yar,53.6039,91.3903,291.09,94,3,1.0,RU,1689371487
112,baiao,-2.7906,-49.6717,299.49,75,61,1.39,BR,1689371488
113,port alfred,-33.5906,26.891,291.16,42,100,4.93,ZA,1689371488
114,vila velha,-20.3297,-40.2925,295.12,78,75,7.2,BR,1689370927
115,arkhangel'sk,64.5401,40.5433,287.66,90,90,2.12,RU,1689371489
116,sinabang,2.4803,96.3801,299.12,79,100,1.09,ID,1689371489
117,lu-uk,5.9684,121.3122,299.47,86,99,2.13,PH,1689371489
118,flying fish cove,-10.4217,105.6791,296.97,83,75,5.14,CX,1689371046
119,edinburgh of the seven seas,-37.0676,-12.3116,288.93,93,100,13.56,SH,1689370892
120,iskateley,67.6803,53.1512,284.88,80,7,3.36,RU,1689370921
121,sterlibashevo,53.4376,55.2578,285.52,92,78,3.8,RU,1689371491
122,ulaangom,49.9811,92.0667,292.05,50,35,1.46,MN,1689371491
123,behompy,-23.2496,43.8557,289.92,64,0,5.59,MG,1689371491
124,mtwara,-10.2667,40.1833,295.08,86,0,4.7,TZ,1689371492
125,port mathurin,-19.6833,63.4167,296.88,81,100,8.09,MU,1689370908
126,namibe,-15.1961,12.1522,294.34,44,0,6.4,AO,1689370926
127,aasiaat,68.7098,-52.8699,276.79,97,100,4.58,GL,1689370941
128,alo,7.4178,6.7371,297.11,96,71,1.79,NG,1689371051
129,crane,31.3974,-102.3501,313.08,16,27,7.96,US,1689371493
130,lebu,-37.6167,-73.65,282.35,75,64,3.91,CL,1689371493
131,abepura,-2.6333,140.5833,297.6,88,20,0.0,ID,1689371114
132,runing,33.0011,114.3542,298.38,61,55,4.19,CN,1689371494
133,altay,47.8667,88.1167,295.84,31,30,2.91,CN,1689371494
134,margaret river,-33.95,115.0667,280.53,78,0,3.15,AU,1689371494
135,cluses,46.0625,6.575,298.73,60,18,3.02,FR,1689371495
136,geraldton,-28.7667,114.6,281.38,81,0,5.66,AU,1689370787
137,san martin,-33.081,-68.4681,285.45,41,10,1.6,AR,1689371495
138,coahuayana de hidalgo,18.7,-103.6583,306.1,64,26,3.3,MX,1689371064
139,polyarnyy,69.1989,33.4478,289.3,78,82,1.59,RU,1689371135
140,codrington,-38.2667,141.9667,283.0,85,100,5.05,AU,1689370943
141,severnoye,56.3491,78.3619,290.39,98,78,2.63,RU,1689371496
142,anadyr,64.75,177.4833,284.43,93,100,1.0,RU,1689371496
143,wagar,16.1525,36.2032,304.68,42,85,10.95,SD,1689371497
144,vershino-darasunskiy,52.35,115.5167,286.82,62,20,1.44,RU,1689371497
145,egersund,58.4513,5.9997,288.11,86,94,4.78,NO,1689371497
146,jamestown,42.097,-79.2353,300.38,61,75,4.12,US,1689371244
147,wellington,-41.2866,174.7756,283.96,87,53,4.12,NZ,1689371312
